time,open,high,low,close,tick_volume,spread,real_volume
2024-01-17 13:00:00,2026.1,2026.74,2023.75,2023.92,2714,5,0
2024-01-17 14:00:00,2023.97,2029.04,2023.76,2028.36,3927,5,0
2024-01-17 15:00:00,2028.5,2028.68,2019.12,2022.44,7251,0,0
2024-01-17 16:00:00,2022.45,2023.1,2011.46,2012.2,7490,0,0
2024-01-17 17:00:00,2012.1,2014.07,2006.2,2008.91,7839,0,0
2024-01-17 18:00:00,2008.82,2011.99,2004.37,2005.48,5550,0,0
2024-01-17 19:00:00,2005.53,2008.02,2003.44,2007.06,4682,5,0
2024-01-17 20:00:00,2007.09,2007.23,2001.91,2004.81,4254,5,0
2024-01-17 21:00:00,2004.81,2006.9,2004.42,2005.52,3096,5,0
2024-01-17 22:00:00,2005.6,2006.89,2004.82,2006.1,2510,5,0
2024-01-17 23:00:00,2006.14,2006.35,2005.32,2006.11,932,5,0
2024-01-18 01:00:00,2005.8,2009.91,2005.62,2009.6,1711,2,0
2024-01-18 02:00:00,2009.64,2010.89,2008.3,2010.85,2003,5,0
2024-01-18 03:00:00,2010.81,2012.17,2009.38,2011.68,3560,4,0
2024-01-18 04:00:00,2011.7,2011.92,2007.55,2007.7,2521,5,0
2024-01-18 05:00:00,2007.7,2009.21,2006.44,2008.05,2341,3,0
2024-01-18 06:00:00,2008.03,2009.24,2007.9,2008.16,1370,5,0
2024-01-18 07:00:00,2008.16,2009.46,2005.85,2009.28,2405,4,0
2024-01-18 08:00:00,2009.3,2013.06,2008.9,2012.74,3367,0,0
2024-01-18 09:00:00,2012.6,2014.13,2011.1,2012.34,3042,5,0
2024-01-18 10:00:00,2012.32,2012.38,2009.6,2009.72,3286,5,0
2024-01-18 11:00:00,2009.58,2012.97,2008.18,2010.16,3363,5,0
2024-01-18 12:00:00,2010.22,2012.22,2009.23,2011.63,2482,5,0
2024-01-18 13:00:00,2011.62,2013.49,2010.78,2012.61,2813,5,0
2024-01-18 14:00:00,2012.62,2017.27,2012.62,2014.98,4258,5,0
